id;alert_id;alert_name;alert_capacity;alert_sms_message;alert_email_message;alert_sms_message_active;alert_email_message_active;alert_period
1;01f876fb-bae2-4c44-bd13-45670c5b43b4;Wyoming;23474;Fantastic;Salad redundant;false;false;Monthly
2;35a86ab7-0487-4b59-b1c8-cdbdf3deecc3;enable feed eyeballs;53369;deposit Wooden;Rustic synergies Optimization;false;true;Weekly
3;e5f3760e-8095-488c-a062-55542561f97d;Plastic Table;66062;Fresh Customer;National;true;true;Monthly
4;7f68f77a-6c30-4bb3-9134-d4fca9e71021;Wooden;92318;Frozen;Washington Automotive input;true;true;Weekly
5;72eecb3d-f197-4bb0-9b5b-1a1adca6be86;Account;72919;functionalities;Spurs;true;false;Yearly
6;fce2c5e4-2d49-41cd-9995-dfc49bff9ca3;success Soft;99849;attitude-oriented Identity;UAE Metical open;false;false;Weekly
7;e2f7f31e-5ab8-43fe-82c3-d873314867f7;set 24;2800;Rupee;middleware Unbranded Executive;false;false;Monthly
8;b7dc360d-1b5f-4e63-919b-11387d4d98a9;Camp website;29689;virtual Rustic open-source;Ariary synthesizing markets;true;true;Yearly
9;f911813e-7fbc-4c2d-b72c-527934167c33;Bedfordshire;79380;Verde mint microchip;envisioneer;false;true;Monthly
10;b3df5503-bb3f-4793-92d7-92bcebfa325b;monetize Fundamental invoice;40245;Dalasi withdrawal;violet;true;true;Weekly
