id;bucket_id;bucket_name;bucket_capacity;bucket_type;bucket_description;rate_plan
1;c250f7ae-7dc4-441b-96ff-fbe654b96158;Bike Agent blue;45953;platforms Books;Cedi Mexican;Future Regional York
2;0a7204d2-0585-4242-9512-80e07f9df622;XML Massachusetts;15455;reintermediate;edge communities Human;driver matrix
3;a47ef541-318b-4a56-9c1e-58b78f90c4ed;Republic;64810;Open-architected service-desk Associate;Product;Incredible bluetooth
4;98c8d405-3d74-4b6b-9f4b-ce6e280619ab;pixel;22238;Vietnam grey Marketing;schemas Soft Dinar;cross-platform executive
5;7de50c0b-719c-4886-aa40-5a77f8c54a46;transmit maroon;9081;Avon New;Village Account Bedfordshire;Intelligent Networked Crossing
6;c1fd5d6c-851a-4770-815b-318c0e246243;Rial;39053;Bike;harness;withdrawal Designer
7;6e4c854f-f519-4bb4-98c6-4087ba20da53;empower transitional;31377;JSON bluetooth;real-time;implementation PCI driver
8;800214d7-e3f8-44fb-949b-0a8bb11e2bd9;Loan Programmable Gorgeous;92925;payment;encompassing deposit Account;Valleys infomediaries Corporate
9;c9fc7602-a073-41d8-9531-7814f2842bca;Sleek deposit;28244;synergistic content-based;global invoice encoding;payment Technician
10;c0075ed8-e039-4b83-b578-8935e9f3a51f;Tuna Multi-layered;75062;portal Shirt Swiss;hybrid Georgia;Cambridgeshire Savings protocol
