id;customer_name;customer_id;contarct_id;customer_parent;dummy_contract;customer_id_hight;customer_code
1;Assistant;1947cb33-a973-4f12-be45-c649c026ef38;98464;Malta alarm multi-byte;43816;52315;dedicated
2;synthesize Directives;1c7f3df6-13ad-4541-bc11-91a7caf4d544;80977;quantifying transmit;45039;23389;primary
3;Renminbi plum;cb4ac962-03e2-4c6a-9ae0-2ae79e98c71b;61644;revolutionary white bypass;15515;53196;Berkshire
4;Georgia;3c3b7a0e-35dd-4987-9aef-726f29d31266;92364;Sausages;4162;45752;Stravenue Virtual channels
5;up gold;473d4eb5-2034-4c10-bc4e-90d3f7cbdd09;90574;Egypt;95683;57952;New Human
6;deposit haptic Dynamic;7ee14e2c-e826-4b90-996c-161ef48cd7bb;73997;digital Strategist full-range;4965;88410;backing orange multi-byte
7;Loaf microchip;d815acd9-744b-408b-af87-21a2d7721d09;95505;Buckinghamshire turquoise User;77689;23996;user system
8;Minnesota array;9e461d36-5dfb-4a8f-8e8c-99214ecededf;79099;synthesize;26080;75944;Frozen Nebraska
9;Solutions Bacon Beauty;18c4e07f-d6d0-4750-9884-f76307f24e73;63246;Riel networks Buckinghamshire;75472;93409;Georgia input
10;Somalia Markets sexy;3fe9a0a2-4dbb-4f1a-ab0d-60f1beb761d5;66435;convergence Program;40206;25614;structure
